sim_id,path_type,depth_input_mm,total_time,status,param_radius,param_num_passes,timestamp,max_depth_mm,avg_depth_mm,depth_std_mm,min_z_coord,max_z_coord,max_stress_MPa,avg_stress_MPa,stress_std_MPa,max_strain,avg_strain,strain_std,formed_diameter_x_mm,formed_diameter_y_mm,formed_area_mm2,num_nodes,num_stress_values,num_strain_values,param_amplitude,param_k_petals,param_num_rotations,param_max_radius,param_major_axis,param_minor_axis,param_side_length,param_width,param_height,param_num_lines,param_outer_radius,param_inner_radius,param_num_points_star,param_num_cycles,param_min_radius,param_num_circles,param_freq_x,param_freq_y,param_num_periods
51,hexagon,1.5,55.0,SUCCESS,6.0,2.0,2026-02-13T04:36:43.640257,1.6,1.098,0.728,0.0,1.6,258.4,6.28,18.67,0.5774,0.031806,0.131509,65.0,65.0,4225.0,1951.0,66300.0,28722.0,,,,,,,,,,,,,,,,,,,
52,circular,1.5,40.0,SUCCESS,11.0,,2026-02-13T04:38:32.250512,1.6,1.1,0.724,0.0,1.6,261.3,7.18,20.79,0.5774,0.031473,0.13075,65.0,65.0,4225.0,1950.0,66470.0,28633.0,,,4.0,,,,,,,,,,,,,,,,
53,ellipse,7.5,55.0,FAILED,,,2026-02-13T04:43:47.465650,,,,,,,,,,,,,,,,,,,,1.0,,12.0,7.0,,,,,,,,,,,,,
54,figure8,1.5,70.0,SUCCESS,,,2026-02-13T04:45:20.858234,1.6,1.09,0.738,0.0,1.6,201.0,3.34,10.98,0.5774,0.03189,0.131708,65.0,65.0,4225.0,1951.0,65113.0,28087.0,6.0,,,,,,,,,,,,,2.0,,,,,
55,lissajous,6.5,75.0,FAILED,,,2026-02-13T04:51:40.762398,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,2.0,4.0,3.0
56,zigzag,2.5,50.0,UPLOAD_FAILED,,,2026-02-13T04:52:06.572214,,,,,,,,,,,,,,,,,,,,,,,,,18.0,22.0,5.0,,,,,,,,,
57,zigzag,5.5,75.0,SUCCESS,,,2026-02-13T04:54:51.719040,1.6,1.088,0.713,0.0,1.6,291.8,14.14,31.46,0.5774,0.030177,0.127293,65.0,65.0,4225.0,1891.0,76830.0,30024.0,,,,,,,,18.0,18.0,5.0,,,,,,,,,
58,spiral,1.0,75.0,SUCCESS,,,2026-02-13T04:57:12.171575,1.6,1.092,0.735,0.0,1.6,216.9,4.13,13.64,0.5774,0.032247,0.132407,65.0,65.0,4225.0,1951.0,62396.0,28455.0,,,4.0,8.0,,,,,,,,,,,,,,,
59,spiral,4.0,70.0,SUCCESS,,,2026-02-13T04:59:48.337343,1.6,1.095,0.719,0.0,1.6,297.2,10.91,26.51,0.5774,0.030008,0.127325,65.0,65.0,4225.0,1901.0,75896.0,29955.0,,,5.0,9.0,,,,,,,,,,,,,,,
60,spiral_inward,6.5,55.0,SUCCESS,,,2026-02-13T05:01:05.238538,1.6,1.103,0.704,0.0,1.6,313.6,17.79,37.4,0.5774,0.028799,0.124852,65.0,65.0,4225.0,1870.0,87960.0,31223.0,,,2.0,8.0,,,,,,,,,,,,,,,
61,concentric,1.5,65.0,SUCCESS,,,2026-02-13T05:03:09.723581,1.6,1.097,0.727,0.0,1.6,267.8,6.33,18.36,0.5774,0.031529,0.130816,65.0,65.0,4225.0,1948.0,66210.0,28416.0,,,,13.0,,,,,,,,,,,3.0,5.0,,,
62,spiral_inward,1.5,65.0,SUCCESS,,,2026-02-13T05:06:50.714991,1.6,1.096,0.73,0.0,1.6,261.2,5.87,17.97,0.5774,0.031579,0.131047,65.0,65.0,4225.0,1951.0,68428.0,28588.0,,,3.0,13.0,,,,,,,,,,,,,,,
63,lissajous,1.5,55.0,SUCCESS,,,2026-02-13T05:14:16.634453,1.6,1.091,0.732,0.0,1.6,275.3,5.72,17.05,0.5774,0.030856,0.129443,65.0,65.0,4225.0,1956.0,70634.0,28985.0,14.0,,,,,,,,,,,,,,,,4.0,2.0,2.0
64,square,8.0,75.0,SUCCESS,,2.0,2026-02-13T05:16:05.207244,1.6,1.094,0.709,0.0,1.6,321.0,15.63,33.32,0.5774,0.029888,0.126588,65.0,65.0,4225.0,1847.0,81359.0,30360.0,,,,,,,10.0,,,,,,,,,,,,
65,figure8,4.0,45.0,FAILED,,,2026-02-13T05:22:41.668534,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,1.0,,,,,
